Feature,Variance
minutes,83.91340479061346
fieldGoalsMade,1.0137266611002318
fieldGoalsAttempted,0.8851450185283326
fieldGoalsPercentage,0.5842177549757253
threePointersMade,1.2494201817825121
threePointersAttempted,1.0500209585246703
threePointersPercentage,1.0061114876644537
freeThrowsMade,1.3425498835616831
freeThrowsAttempted,1.2987442683882142
freeThrowsPercentage,1.0660667653774525
reboundsOffensive,1.2190628011627131
reboundsDefensive,1.063120937504887
reboundsTotal,1.021304428682316
assists,1.2434161409003404
steals,1.244358220633266
blocks,1.2037381973674046
turnovers,1.1867235952039048
foulsPersonal,0.9262721855634085
points,1.0083766212329213
plusMinusPoints,1.4170850189602642
SEASON_ID,4.815418185042146e-35
WL,0.249801097274972
MIN,0.13237757139531695
PTS,0.5432114709581316
FGM,0.5888856640736018
FGA,0.42056576737644147
FG_PCT,0.6578453714197848
FG3M,0.9142069876699666
FG3A,0.7789295728182299
FG3_PCT,0.8696496357994965
FTM,0.9604334182316598
FTA,0.9388622965536542
FT_PCT,0.6312624792874362
OREB,0.9298744186001006
DREB,0.6898254079677487
REB,0.6757918661242341
AST,0.8229351366752556
STL,0.9713758047079234
BLK,0.9663001076936654
TOV,0.9231262734231367
PF,0.8449174881209239
PLUS_MINUS,1.0196193889180554
total_shots,1.0494665725369756
total_makes,1.0760278230550837
fg_pct,0.5547049122272192
paint_shots,1.1666360925024464
mid_range_shots,1.4549394344884379
three_point_shots,1.2694347683438154
avg_distance,0.7615374236886913
total_shots_clutch,1.2810158900368291
total_makes_clutch,1.2623737977560807
fg_pct_clutch,0.7132095353503495
paint_shots_clutch,1.2735968548469774
mid_range_shots_clutch,1.553578496209231
three_point_shots_clutch,1.3867644512451631
avg_distance_clutch,0.8094329597767483
efg,0.8268081053964802
ts,0.8116604993629779
streak,0.7531591764795096
usagePercentage,0.5255315957814009
ROLLING_fieldGoalsMade,0.9804152115599193
ROLLING_fieldGoalsAttempted,0.9200849363023568
ROLLING_fieldGoalsPercentage,0.5319158659219289
ROLLING_threePointersMade,1.159769706970321
ROLLING_threePointersAttempted,1.0550424130584926
ROLLING_threePointersPercentage,0.8911427996196586
ROLLING_freeThrowsMade,1.2393509910188405
ROLLING_freeThrowsAttempted,1.2040036984415727
ROLLING_freeThrowsPercentage,0.9314161782526869
ROLLING_reboundsOffensive,1.1159467294144048
ROLLING_reboundsDefensive,1.0337311580380615
ROLLING_reboundsTotal,1.0074365649335426
ROLLING_assists,1.2086612301308035
ROLLING_steals,1.0742960224198963
ROLLING_blocks,1.0702254077160887
ROLLING_turnovers,1.1081478412299919
ROLLING_foulsPersonal,0.7786845091472864
ROLLING_points,0.9812097672740575
ROLLING_plusMinusPoints,1.2997074271408862
ROLLING_MIN,0.1602186407359611
ROLLING_PTS,0.39170750760482065
ROLLING_FGM,0.4237327305335913
ROLLING_FGA,0.31981115275279964
ROLLING_FG_PCT,0.5409811851979689
ROLLING_FG3M,0.8287459297484016
ROLLING_FG3A,0.7290573858483702
ROLLING_FG3_PCT,0.744690743877924
ROLLING_FTM,0.8790672688274125
ROLLING_FTA,0.8701869300809107
ROLLING_FT_PCT,0.44555880597128367
ROLLING_OREB,0.8844612492677734
ROLLING_DREB,0.5239479815528326
ROLLING_REB,0.521699337779303
ROLLING_AST,0.6440621112791933
ROLLING_STL,0.9275036139466836
ROLLING_BLK,0.9262497325591666
ROLLING_TOV,0.8435566522558209
ROLLING_PF,0.8185913549962452
ROLLING_PLUS_MINUS,0.9770121113126033
ROLLING_total_shots,1.0494665725369756
ROLLING_total_makes,1.0760278230550837
ROLLING_fg_pct,0.5547049122272192
ROLLING_paint_shots,1.1666360925024464
ROLLING_mid_range_shots,1.4549394344884379
ROLLING_three_point_shots,1.2694347683438154
ROLLING_avg_distance,0.7615374236886913
position_encoded,1.100018964084241
days_since,1417.2976106924032
opposing_team_numeric,69.27255394439287
