Feature,Coefficient,Magnitude
PLUS_MINUS,0.28393246122320953,0.28393246122320953
streak,0.24095794243976215,0.24095794243976215
ROLLING_FG3M,0.09331893221060505,0.09331893221060505
ROLLING_FTA,-0.08931158486185761,0.08931158486185761
ROLLING_FTM,0.07436856940465833,0.07436856940465833
ROLLING_FG3_PCT,-0.06958806469079251,0.06958806469079251
ROLLING_FG3A,-0.06475591776544948,0.06475591776544948
ROLLING_PLUS_MINUS,-0.05192152355739709,0.05192152355739709
ROLLING_MIN,0.05053269770246947,0.05053269770246947
ROLLING_FGM,-0.04851718213006152,0.04851718213006152
PF,-0.03795834536928433,0.03795834536928433
FG3_PCT,0.03768908027367357,0.03768908027367357
ROLLING_FT_PCT,-0.033672399316520045,0.033672399316520045
total_shots_clutch,0.03245555310138764,0.03245555310138764
efg,0.03006545779852937,0.03006545779852937
ROLLING_PF,0.02811970397497493,0.02811970397497493
FG3M,-0.026785346567812708,0.026785346567812708
FG_PCT,-0.02458908623489793,0.02458908623489793
fieldGoalsPercentage,-0.02342057399649608,0.02342057399649608
FGA,-0.023074623365312283,0.023074623365312283
ROLLING_TEAM_ID,0.021082197344896504,0.021082197344896504
ROLLING_threePointersAttempted,0.02101381400893298,0.02101381400893298
REB,0.0205289400336512,0.0205289400336512
ROLLING_threePointersMade,-0.019657620411705122,0.019657620411705122
ROLLING_REB,-0.019308497254176292,0.019308497254176292
OREB,0.017987851291929816,0.017987851291929816
ROLLING_DREB,-0.01761268339704658,0.01761268339704658
FTM,0.016837673271416307,0.016837673271416307
ROLLING_total_makes,-0.01618757094349283,0.01618757094349283
total_makes,-0.01618757094349187,0.01618757094349187
ROLLING_TOV,0.014936655831657375,0.014936655831657375
plusMinusPoints,0.014757149867345665,0.014757149867345665
three_point_shots_clutch,-0.014746737354647021,0.014746737354647021
ROLLING_FGA,0.014557158257596705,0.014557158257596705
DREB,0.014282214301908885,0.014282214301908885
TOV,-0.01416639580350506,0.01416639580350506
AST,0.012922834184157489,0.012922834184157489
ROLLING_FG_PCT,0.012749697398282208,0.012749697398282208
FTA,0.011783456592333558,0.011783456592333558
MIN,0.01164356272291836,0.01164356272291836
STL,0.011580585095839663,0.011580585095839663
ROLLING_OREB,-0.010677296242547447,0.010677296242547447
ROLLING_fieldGoalsAttempted,-0.010309425104008528,0.010309425104008528
fieldGoalsAttempted,-0.009800669316457013,0.009800669316457013
ts,-0.009721184066790452,0.009721184066790452
ROLLING_fieldGoalsMade,0.009564750960957307,0.009564750960957307
total_makes_clutch,-0.008759478724850785,0.008759478724850785
FG3A,-0.008606922770426115,0.008606922770426115
ROLLING_paint_shots,0.008412559157023726,0.008412559157023726
paint_shots,0.008412559157016277,0.008412559157016277
paint_shots_clutch,-0.008333677820394472,0.008333677820394472
freeThrowsMade,-0.007868835983852074,0.007868835983852074
threePointersPercentage,-0.0077798476311760345,0.0077798476311760345
ROLLING_threePointersPercentage,0.0077516928728462876,0.0077516928728462876
ROLLING_three_point_shots,0.007747804197408205,0.007747804197408205
three_point_shots,0.007747804197408181,0.007747804197408181
fieldGoalsMade,0.0070254711492828015,0.0070254711492828015
ROLLING_freeThrowsAttempted,-0.00687829842128701,0.00687829842128701
ROLLING_foulsPersonal,0.006749340713198097,0.006749340713198097
freeThrowsPercentage,0.00623089890406841,0.00623089890406841
ROLLING_BLK,0.0057784652956758085,0.0057784652956758085
ROLLING_points,0.005010051601196967,0.005010051601196967
ROLLING_freeThrowsMade,0.004724082672699661,0.004724082672699661
fg_pct_clutch,-0.004455430399145813,0.004455430399145813
freeThrowsAttempted,0.004453210512540835,0.004453210512540835
ROLLING_STL,0.004255442768188296,0.004255442768188296
